id,name,alias,is_closed,review_count,price,rating,transactions,latitude,longitude,geometry,index_right,boro_code,boro_name,county_fip,ntacode,ntaname,shape_area,shape_leng,catlist,numcoffeemen,numreviews,fraccof,name_top5count
0pohq-vk8zKoi8ntSJnX4g,Smile To Go,smile-to-go-new-york-2,False,129,$$,3.5,"['pickup', 'delivery']",40.7195836,-74.0001862,POINT (-74.0001862 40.7195836),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,"['bakeries', 'coffee', 'newamerican']",19.0,60,0.31666666666666665,other
3RdrV08_Ni-4xRDxROTYHA,Dr Smood - Soho Organic Cafe,dr-smood-soho-organic-cafe-new-york-3,False,118,$$,4.0,"['pickup', 'delivery']",40.72282,-74.0014,POINT (-74.0014 40.72282),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,"['cafes', 'coffee', 'juicebars']",42.0,101,0.4158415841584158,other
qmk8FmYNNBOVNkkw8qxpvA,Cafe Grumpy,cafe-grumpy-new-york-10,False,47,$,4.5,[],40.7204165,-73.99610799999998,POINT (-73.99610799999998 40.7204165),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,['coffee'],44.0,47,0.9361702127659576,other
bHY5-dzDzzTw6Xl0duONVQ,Interlude Coffee & Tea,interlude-coffee-and-tea-new-york,False,46,$$,5.0,[],40.72107000000001,-74.00868,POINT (-74.00868 40.72107000000001),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,"['bakeries', 'coffee', 'desserts']",40.0,47,0.851063829787234,other
jzZ-V7zrmLQ9ZVwv0oVt7g,Gasoline Alley Coffee,gasoline-alley-coffee-new-york-2,False,80,$,4.0,[],40.72019276906271,-73.99887773516541,POINT (-73.99887773516541 40.72019276906271),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,['coffee'],74.0,80,0.925,other
isXJQkM2PbPwjKS-C2iLgg,About Coffee,about-coffee-new-york-2,False,68,$,4.5,[],40.7245227745364,-74.00391966104509,POINT (-74.00391966104509 40.7245227745364),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,['coffee'],65.0,68,0.9558823529411764,other
p7AK3xaLGgyG1jYP8kSzNw,Caffe Bene,caffe-bene-new-york-34,False,82,$$,4.0,"['pickup', 'delivery']",40.72100442605221,-74.0043499055924,POINT (-74.00434990559241 40.72100442605221),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,"['coffee', 'desserts']",46.0,82,0.5609756097560976,other
cJBLw_FfD9w_X2XZS3TqIg,Brigadeiro Bakery,brigadeiro-bakery-new-york-3,False,122,$$,4.0,['pickup'],40.727446108802795,-74.0016795987419,POINT (-74.0016795987419 40.72744610880279),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,"['bakeries', 'coffee', 'desserts']",36.0,100,0.36,other
jsjJxd8NzEnl19VM94bbGw,Blue Spoon Coffee,blue-spoon-coffee-new-york,False,185,$,4.0,[],40.7143174856901,-74.0067286044359,POINT (-74.00672860443591 40.7143174856901),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,"['coffee', 'sandwiches']",72.0,100,0.72,other
jJqZrvbMK6CAft44m7UPFA,Aroma Espresso Bar,aroma-espresso-bar-new-york-4,False,344,$$,3.5,"['pickup', 'delivery']",40.7130021842013,-74.0099036917633,POINT (-74.0099036917633 40.7130021842013),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,"['breakfast_brunch', 'cafes', 'coffee']",54.0,100,0.54,other
a8d18n8gAQpQHcr6KwCCeA,Saturdays NYC - Coffee Bar,saturdays-nyc-coffee-bar-new-york,False,76,$$,4.0,[],40.72079,-73.99944,POINT (-73.99944000000001 40.72079),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,['coffee'],69.0,75,0.92,other
qeCuyVChvOBl4Yhtn56FSA,Kaffe 1668,kaffe-1668-new-york-3,False,201,$$,3.5,"['pickup', 'delivery']",40.72092,-74.00968,POINT (-74.00968 40.72092),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,"['breakfast_brunch', 'coffee', 'sandwiches']",74.0,100,0.74,other
LN0CU6tRFqN_Q8TbehkyhA,Peddler,peddler-new-york-3,False,24,$,4.5,[],40.7247,-73.99583,POINT (-73.99583 40.7247),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,['coffee'],19.0,24,0.7916666666666666,other
OQOr0DE1HtSNfxO5_mwfFg,Five & Dime,five-and-dime-new-york,False,83,$$,4.5,"['pickup', 'delivery']",40.7126429155284,-74.0080474702053,POINT (-74.0080474702053 40.7126429155284),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,"['cocktailbars', 'coffee']",48.0,86,0.5581395348837209,other
MB8yE2zRveecPR4bILb_0g,La Colombe Coffee,la-colombe-coffee-new-york-5,False,88,$$,4.0,[],40.7266995,-74.0070413,POINT (-74.0070413 40.7266995),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,['coffee'],76.0,88,0.8636363636363636,other
oizdBfC13iDuerAFQcTPpw,The Wooly Daily,the-wooly-daily-new-york,False,73,$$,4.0,['delivery'],40.7122300098673,-74.0085512129864,POINT (-74.0085512129864 40.7122300098673),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,"['bakeries', 'coffee']",61.0,73,0.8356164383561644,other
g2QmFtxyiXEXQRx6BfV2Lw,MatchaBar Soho,matchabar-soho-new-york,False,44,$,4.0,[],40.72377,-73.9969,POINT (-73.9969 40.72377),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,"['cafes', 'coffee']",24.0,44,0.5454545454545454,other
fiZG5Ttjk428MIc9XvMBHQ,Office Coffee,office-coffee-new-york-2,False,19,$$,4.5,[],40.7188170429165,-74.001034836826,POINT (-74.00103483682599 40.7188170429165),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,['coffee'],19.0,19,1.0,other
j5Me3YSKfaYHoLu_74SMjA,Pret A Manger,pret-a-manger-new-york-64,False,32,$,4.0,[],40.715924,-74.005122,POINT (-74.005122 40.715924),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,"['breakfast_brunch', 'coffee', 'sandwiches']",10.0,32,0.3125,Pret A Manger
GktRnSCBAsboHj9Hh-U66g,GRECA,greca-new-york-3,False,53,$$,4.0,"['pickup', 'delivery']",40.7239479,-74.010406,POINT (-74.010406 40.7239479),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,"['breakfast_brunch', 'coffee', 'lounges']",17.0,52,0.3269230769230769,other
z1kkLXDqsaTYUZUTNtAhzQ,La Colombe Coffee,la-colombe-coffee-new-york-7,False,50,$,4.0,[],40.7258,-74.00114,POINT (-74.00114000000001 40.7258),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,['coffee'],45.0,50,0.9,other
4reZA8aKeeCbmauCwFL8Zw,Iconic Cafe,iconic-cafe-new-york-5,False,36,$,3.5,[],40.7226631,-73.9971855,POINT (-73.9971855 40.7226631),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,"['cafes', 'coffee']",24.0,36,0.6666666666666666,other
KGeGXplRELQAoL3AWDdX4A,Starbucks,starbucks-new-york-278,False,106,$$,2.5,[],40.718252,-73.999961,POINT (-73.999961 40.718252),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,['coffee'],49.0,100,0.49,Starbucks
LTx8jkXzTTqZRMOIEQ0lmw,Think Coffee,think-coffee-new-york-15,False,51,$,3.0,[],40.7168907694292,-74.0037190531662,POINT (-74.00371905316619 40.7168907694292),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,['coffee'],46.0,51,0.9019607843137256,other
8hw2RWJweTi0BvXVNVtD5A,Brooklyn Diamond Coffee,brooklyn-diamond-coffee-new-york-5,False,27,$$,3.5,"['pickup', 'delivery']",40.72269,-74.00315,POINT (-74.00315000000001 40.72269),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,['coffee'],24.0,27,0.8888888888888888,other
01cAFjVfryumdxZCs-QG-A,Starbucks,starbucks-new-york-215,False,44,$,3.0,[],40.718887,-74.002524,POINT (-74.00252399999999 40.718887),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,['coffee'],21.0,44,0.4772727272727273,Starbucks
OA3VxeqHoLTWMHFC6QWYQA,Pret A Manger,pret-a-manger-new-york-51,False,92,$,3.0,[],40.71307,-74.00962,POINT (-74.00962 40.71307),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,"['breakfast_brunch', 'coffee', 'sandwiches']",37.0,91,0.4065934065934066,Pret A Manger
GmO-vuYIlKO8MexarMmlUA,Sawada Coffee,sawada-coffee-new-york,False,33,$$,5.0,[],40.718047375177,-74.001948203275,POINT (-74.00194820327501 40.718047375177),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,['coffee'],30.0,35,0.8571428571428571,other
8E2WtGTIbKkJxVgHboB07Q,Seven Grams Caffe,seven-grams-caffe-new-york-6,False,33,$$,4.0,[],40.72737,-74.00572,POINT (-74.00572 40.72737),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,"['bakeries', 'coffee']",29.0,33,0.8787878787878788,other
UVMOgtXdJLYpttaZvGYL9g,Nespresso Boutique,nespresso-boutique-new-york-6,False,224,$$,3.5,[],40.72441,-73.998623,POINT (-73.99862299999999 40.72441),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,"['cafes', 'coffee', 'coffeeroasteries']",72.0,100,0.72,other
lCyiAsEUv8saCamKEU9KUQ,Maman,maman-new-york-9,False,28,,4.0,[],40.72381,-74.00836,POINT (-74.00836 40.72381),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,"['bakeries', 'coffee']",19.0,29,0.6551724137931034,other
JQI9jo2g_OIxkMIumpMtXQ,Le Pain Quotidien,le-pain-quotidien-new-york-158,False,233,$$,3.5,"['delivery', 'pickup']",40.7215006,-74.001552192625,POINT (-74.001552192625 40.7215006),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,"['bakeries', 'breakfast_brunch', 'coffee']",16.0,47,0.3404255319148936,Le Pain Quotidien
wE3_AwZoZ0ZXbngBH1xRrg,Starbucks,starbucks-new-york-294,False,53,$,3.0,[],40.718247,-74.007305,POINT (-74.007305 40.718247),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,['coffee'],18.0,41,0.4390243902439024,Starbucks
54It8Q6chDE2LsTWG9HY2Q,JOE & THE JUICE,joe-and-the-juice-new-york-3,False,55,$$,3.0,[],40.726165,-74.001213,POINT (-74.00121300000001 40.726165),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,"['cafes', 'coffee', 'juicebars']",16.0,54,0.2962962962962963,other
D4BuIM05hzlztoLoEDj_gw,Tulo House,tulo-house-new-york,False,15,,3.5,[],40.7223,-73.99623000000003,POINT (-73.99623000000003 40.7223),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,['coffee'],10.0,15,0.6666666666666666,other
iWoOAvIYqZ8nqx1BYcuZYw,Starbucks,starbucks-new-york-537,False,19,,3.0,"['delivery', 'pickup']",40.719757,-73.99913000000002,POINT (-73.99913000000002 40.719757),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,['coffee'],6.0,19,0.3157894736842105,Starbucks
g-asbieYX6n6fTdqxtWT0w,Bluestone Lane,bluestone-lane-new-york-22,False,46,$$,4.0,"['delivery', 'pickup']",40.721875,-73.9957106,POINT (-73.9957106 40.721875),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,['coffee'],33.0,40,0.825,other
nNaLeZ6jyC7jomLDhqVDqQ,Starbucks,starbucks-new-york-386,False,49,$$,3.0,[],40.727629,-74.007488,POINT (-74.007488 40.727629),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,['coffee'],27.0,40,0.675,Starbucks
XzAZVxmGPcysK8hYdcAJKA,Starbucks,starbucks-new-york-229,False,44,$$,2.0,[],40.715754,-74.003125,POINT (-74.003125 40.715754),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,['coffee'],17.0,40,0.425,Starbucks
AvpB-RQgEW9N4Eip3l3cww,Starbucks,starbucks-new-york-553,False,38,$$,2.5,[],40.72255300000001,-73.99794200000002,POINT (-73.99794200000002 40.72255300000001),123,1.0,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032327999998,['coffee'],13.0,38,0.34210526315789475,Starbucks
