alias,numcoffeemen,numreviews,fraccof
dunkin-new-york-101,5.0,10,0.5
dunkin-new-york-102,8.0,16,0.5
dunkin-new-york-103,12.0,21,0.5714285714285714
dunkin-new-york-105,7.0,16,0.4375
dunkin-new-york-106,9.0,18,0.5
dunkin-new-york-107,16.0,39,0.41025641025641024
dunkin-new-york-108,22.0,42,0.5238095238095238
dunkin-new-york-109,24.0,49,0.4897959183673469
dunkin-new-york-11,11.0,26,0.4230769230769231
dunkin-new-york-111,7.0,23,0.30434782608695654
dunkin-new-york-112,15.0,44,0.3409090909090909
dunkin-new-york-113,10.0,20,0.5
dunkin-new-york-114,9.0,15,0.6
dunkin-new-york-115,6.0,17,0.35294117647058826
dunkin-new-york-116,6.0,11,0.5454545454545454
dunkin-new-york-119,16.0,37,0.43243243243243246
dunkin-new-york-12,8.0,25,0.32
dunkin-new-york-120,4.0,9,0.4444444444444444
dunkin-new-york-121,1.0,3,0.3333333333333333
dunkin-new-york-122,2.0,4,0.5
dunkin-new-york-123,7.0,21,0.3333333333333333
dunkin-new-york-124,6.0,20,0.3
dunkin-new-york-126,3.0,20,0.15
dunkin-new-york-127,18.0,26,0.6923076923076923
dunkin-new-york-128,9.0,18,0.5
dunkin-new-york-13,5.0,13,0.38461538461538464
dunkin-new-york-130,12.0,27,0.4444444444444444
dunkin-new-york-131,8.0,20,0.4
dunkin-new-york-132,5.0,13,0.38461538461538464
dunkin-new-york-133,8.0,12,0.6666666666666666
dunkin-new-york-134,9.0,14,0.6428571428571429
dunkin-new-york-136,6.0,20,0.3
dunkin-new-york-137,10.0,29,0.3448275862068966
dunkin-new-york-138,12.0,29,0.41379310344827586
dunkin-new-york-139,5.0,12,0.4166666666666667
dunkin-new-york-142,6.0,12,0.5
dunkin-new-york-143,10.0,23,0.43478260869565216
dunkin-new-york-144,5.0,16,0.3125
dunkin-new-york-148,17.0,24,0.7083333333333334
dunkin-new-york-15,18.0,23,0.782608695652174
dunkin-new-york-150,17.0,28,0.6071428571428571
dunkin-new-york-151,11.0,26,0.4230769230769231
dunkin-new-york-152,9.0,16,0.5625
dunkin-new-york-153,9.0,19,0.47368421052631576
dunkin-new-york-155,18.0,34,0.5294117647058824
dunkin-new-york-157,5.0,8,0.625
dunkin-new-york-16,2.0,3,0.6666666666666666
dunkin-new-york-161,5.0,20,0.25
dunkin-new-york-162,1.0,2,0.5
dunkin-new-york-163,6.0,21,0.2857142857142857
dunkin-new-york-164,10.0,18,0.5555555555555556
dunkin-new-york-165,24.0,58,0.41379310344827586
dunkin-new-york-166,11.0,40,0.275
dunkin-new-york-17,6.0,15,0.4
dunkin-new-york-170,10.0,12,0.8333333333333334
dunkin-new-york-171,9.0,16,0.5625
dunkin-new-york-172,1.0,3,0.3333333333333333
dunkin-new-york-173,5.0,5,1.0
dunkin-new-york-174,14.0,26,0.5384615384615384
dunkin-new-york-175,1.0,2,0.5
dunkin-new-york-176,0.0,1,0.0
dunkin-new-york-18,2.0,9,0.2222222222222222
dunkin-new-york-19,2.0,12,0.16666666666666666
dunkin-new-york-20,4.0,18,0.2222222222222222
dunkin-new-york-22,10.0,30,0.3333333333333333
dunkin-new-york-23,10.0,20,0.5
dunkin-new-york-24,6.0,12,0.5
dunkin-new-york-25,9.0,24,0.375
dunkin-new-york-27,5.0,12,0.4166666666666667
dunkin-new-york-28,6.0,16,0.375
dunkin-new-york-29,3.0,3,1.0
dunkin-new-york-3,0.0,1,0.0
dunkin-new-york-30,14.0,29,0.4827586206896552
dunkin-new-york-32,12.0,28,0.42857142857142855
dunkin-new-york-33,1.0,3,0.3333333333333333
dunkin-new-york-34,7.0,22,0.3181818181818182
dunkin-new-york-36,10.0,29,0.3448275862068966
dunkin-new-york-39,1.0,10,0.1
dunkin-new-york-40,1.0,3,0.3333333333333333
dunkin-new-york-41,18.0,51,0.35294117647058826
dunkin-new-york-42,15.0,27,0.5555555555555556
dunkin-new-york-43,7.0,16,0.4375
dunkin-new-york-44,3.0,4,0.75
dunkin-new-york-45,9.0,24,0.375
dunkin-new-york-46,5.0,17,0.29411764705882354
dunkin-new-york-47,11.0,33,0.3333333333333333
dunkin-new-york-49,6.0,12,0.5
dunkin-new-york-5,1.0,1,1.0
dunkin-new-york-50,11.0,26,0.4230769230769231
dunkin-new-york-51,2.0,7,0.2857142857142857
dunkin-new-york-52,1.0,2,0.5
dunkin-new-york-53,13.0,22,0.5909090909090909
dunkin-new-york-54,0.0,1,0.0
dunkin-new-york-55,0.0,1,0.0
dunkin-new-york-56,11.0,24,0.4583333333333333
dunkin-new-york-57,4.0,11,0.36363636363636365
dunkin-new-york-58,1.0,1,1.0
dunkin-new-york-6,3.0,5,0.6
dunkin-new-york-60,2.0,7,0.2857142857142857
dunkin-new-york-61,3.0,11,0.2727272727272727
dunkin-new-york-62,12.0,24,0.5
dunkin-new-york-65,6.0,12,0.5
dunkin-new-york-66,6.0,14,0.42857142857142855
dunkin-new-york-68,3.0,12,0.25
dunkin-new-york-69,6.0,14,0.42857142857142855
dunkin-new-york-70,9.0,21,0.42857142857142855
dunkin-new-york-71,11.0,28,0.39285714285714285
dunkin-new-york-72,5.0,12,0.4166666666666667
dunkin-new-york-73,13.0,25,0.52
dunkin-new-york-74,2.0,9,0.2222222222222222
dunkin-new-york-76,24.0,52,0.46153846153846156
dunkin-new-york-78,4.0,9,0.4444444444444444
dunkin-new-york-79,1.0,3,0.3333333333333333
dunkin-new-york-8,3.0,8,0.375
dunkin-new-york-80,2.0,7,0.2857142857142857
dunkin-new-york-81,0.0,7,0.0
dunkin-new-york-82,5.0,14,0.35714285714285715
dunkin-new-york-84,12.0,26,0.46153846153846156
dunkin-new-york-86,1.0,4,0.25
dunkin-new-york-87,7.0,10,0.7
dunkin-new-york-88,12.0,43,0.27906976744186046
dunkin-new-york-89,11.0,19,0.5789473684210527
dunkin-new-york-9,8.0,16,0.5
dunkin-new-york-90,7.0,19,0.3684210526315789
dunkin-new-york-92,11.0,31,0.3548387096774194
dunkin-new-york-93,17.0,35,0.4857142857142857
dunkin-new-york-94,8.0,20,0.4
dunkin-new-york-95,9.0,20,0.45
dunkin-new-york-97,10.0,15,0.6666666666666666
dunkin-new-york-98,12.0,30,0.4
dunkin-north-bergen-5,1.0,2,0.5
dunkin-weehawken,1.0,5,0.2
easy-victor-cafe-new-york,7.0,10,0.7
eat-pretty-new-york-4,15.0,18,0.8333333333333334
eclair-bakery-new-york,23.0,102,0.22549019607843138
effys-kitchen-new-york-2,23.0,100,0.23
el-barrista-cafe-new-york-2,18.0,19,0.9473684210526315
el-chevere-bakery-new-york,3.0,15,0.2
elis-essentials-new-york-6,10.0,47,0.2127659574468085
elis-essentials-new-york-7,4.0,16,0.25
elis-night-shift-new-york-3,13.0,81,0.16049382716049382
elsewhere-espresso-new-york,34.0,40,0.85
evantinas-coffee-cart-new-york,1.0,1,1.0
everyman-espresso-new-york,38.0,40,0.95
everyman-espresso-new-york-2,92.0,101,0.9108910891089109
feed-shop-and-cafe-brooklyn-2,17.0,19,0.8947368421052632
feed-your-soul-cafe-new-york,10.0,12,0.8333333333333334
felix-roasting-co-new-york-3,91.0,100,0.91
feroce-caffè-new-york-6,7.0,10,0.7
fiat-cafe-new-york,27.0,110,0.24545454545454545
filicori-zecchini-new-york-5,16.0,20,0.8
financier-patisserie-new-york-30,34.0,70,0.4857142857142857
financier-patisserie-new-york-33,33.0,100,0.33
financier-patisserie-new-york-34,42.0,101,0.4158415841584158
financier-patisserie-new-york-35,44.0,100,0.44
finn-s-bagels-new-york,11.0,40,0.275
