id,name,alias,is_closed,review_count,price,rating,transactions,latitude,longitude,geometry,index_right,boro_code,boro_name,county_fip,ntacode,ntaname,shape_area,shape_leng,catlist
Toe219x40Dtq71_HOQ1OOg,La Colombe Coffee,la-colombe-coffee-new-york,False,356,$$,4.0,[],40.719941,-74.003781,POINT (-74.003781 40.719941),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,['coffee']
GlPJPpKvPR4d8dmcSEYpdA,Takahachi Bakery,takahachi-bakery-new-york,False,901,$$,4.0,[],40.71393,-74.00822,POINT (-74.00821999999999 40.71393),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['bakeries', 'coffee', 'japanese']"
jsJdz6pvyYZjtut9vkUwBw,Yaya Tea Garden,yaya-tea-garden-new-york-6,False,257,$,4.0,"['pickup', 'delivery']",40.7192268371582,-73.99627685546879,POINT (-73.99627685546879 40.7192268371582),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['bubbletea', 'coffee', 'japanese']"
Rs196agFk9VEW2mHrOwpvw,12 Corners,12-corners-new-york-4,False,158,$,4.5,[],40.7180405,-73.99720759999998,POINT (-73.99720759999998 40.7180405),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,['coffee']
_Rf1-QjWIAhjc33twu7u3w,Polosud Gelato Coffee Pastries,polosud-gelato-coffee-pastries-new-york,False,65,$,5.0,"['pickup', 'delivery']",40.71993,-73.99584,POINT (-73.99584 40.71993),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['bakeries', 'coffee', 'gelato']"
u0bYCPlbJ85_lDjnZQ_e3w,Kaigo Coffee Room,kaigo-coffee-room-new-york-4,False,153,$$,4.5,[],40.718702982239705,-74.00047253708779,POINT (-74.00047253708779 40.71870298223971),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['coffee', 'sandwiches']"
iL9U6DG4ZdPrnMhXeSPIzA,JOE & THE JUICE,joe-and-the-juice-new-york,False,360,$,3.5,"['pickup', 'delivery']",40.7226396,-73.9973777,POINT (-73.9973777 40.7226396),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['cafes', 'coffee', 'juicebars']"
V81lasO1io2Qs6lNnOBn-g,Charley St,charley-st-new-york,False,121,$$,4.5,"['pickup', 'delivery']",40.72093,-73.99548,POINT (-73.99548 40.72093),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['breakfast_brunch', 'cafes', 'coffee']"
uk34HIU-ILX2A-FRs1Or3g,Kaffe 1668 South,kaffe-1668-south-new-york,False,690,$$,4.0,"['pickup', 'delivery']",40.71517100000001,-74.010925,POINT (-74.010925 40.71517100000001),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,['coffee']
P4HX6tjQQK4gbdn_d0cGTw,Ground Support,ground-support-new-york,False,510,$,4.0,[],40.7241968559678,-74.0020576327145,POINT (-74.0020576327145 40.7241968559678),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['coffee', 'salad', 'sandwiches']"
