id,name,alias,is_closed,categories,review_count,price,rating,transactions,latitude,longitude
tJ9XxUoc94htowy4tQcqdg,Dunkin',dunkin-new-york-130,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'donuts', 'title': 'Donuts'}]",27,$,2.0,[],40.711039899999996,-74.00663
8so25MhnhSNRlL_4ZBtxiA,Dunkin',dunkin-new-york-34,False,"[{'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",22,$,2.5,['delivery'],40.7294663610821,-73.97860922651999
vnoS0A6ZR4JgwLNnfbHkJQ,C&B at Paper Daisy,c-and-b-at-paper-daisy-new-york,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",2,,5.0,[],40.72854,-73.98716
OSKlFeDJUazN2RPTM9-OtA,Abingdon Market,abingdon-market-new-york,False,"[{'alias': 'bagels', 'title': 'Bagels'}, {'alias': 'grocery', 'title': 'Grocery'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",8,$$$,4.0,[],40.736930847168004,-74.00531005859379
-QyG_8hAE0osQ1oTMYffnw,Dunkin',dunkin-new-york-9,False,"[{'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",16,$,3.0,['delivery'],40.733692,-73.999138
xOPr_pXoU5hn1BkEl3hofQ,Le Pain Quotidien,le-pain-quotidien-new-york-152,False,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",147,$$,3.0,"['pickup', 'delivery']",40.740897600000004,-73.9984063
zzgtgiDoB3YA9c-rRFOehw,Roastown Coffee,roastown-coffee-new-york,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]",24,$,2.0,[],40.7288,-73.98775
TRPh8_4PQLuIhobGTBWlrg,Dunkin',dunkin-new-york-136,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'donuts', 'title': 'Donuts'}]",19,$,2.5,['delivery'],40.73365,-74.00316
PRXCWaqPMbz1UsdnJ6tDIQ,Nunu Chocolates,nunu-chocolates-new-york-2,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'chocolate', 'title': 'Chocolatiers & Shops'}]",12,,3.0,[],40.71158,-74.01141
lljs_X0SLfC7Gzce9XMVNQ,D&M Bakery Inc.,d-and-m-bakery-inc-new-york,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}]",4,,3.0,[],40.7169822045653,-73.9888704568148
2cQO_dh2A9y5MeZgMnikSg,Dunkin',dunkin-new-york-17,False,"[{'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",15,$,2.5,[],40.7105569904361,-74.009062461555
6gDkdpsLEUJkydk_VlEt6Q,Turkish Coffee Cart,turkish-coffee-cart-new-york,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'streetvendors', 'title': 'Street Vendors'}, {'alias': 'desserts', 'title': 'Desserts'}]",2,$,5.0,[],40.705900146080396,-74.0087120980024
Qu9J_yrZnq07RsnwYEYdtQ,DGGD Coffee Shop,dggd-coffee-shop-downtown-brooklyn,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",5,$,4.5,[],40.693750865226896,-73.9871062338352
EW7kFuXTsXRQ4Kp7j6qxHw,McDonald's,mcdonalds-new-york-395,False,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",47,$,1.5,['delivery'],40.73104,-73.98226
OXVij6XWHcQqPoTaPgffNw,Ritual Kava,ritual-kava-new-york,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",1,,5.0,[],40.71863,-73.98541999999999
sU4-UrTB5fS9k-YamX1eow,Kafeneo,kafeneo-new-york,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bagels', 'title': 'Bagels'}]",5,$,3.5,[],40.70711,-74.00748
z0l0If3pOKjwK9DbSrdIZA,Oakberry Açaí Bar,oakberry-açaí-bar-new-york-2,False,"[{'alias': 'acaibowls', 'title': 'Acai Bowls'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",2,,5.0,"['pickup', 'delivery']",40.72992,-74.000282
iasVVMV9BGZy8LLNPpNVfA,Joe Coffee Company,joe-coffee-company-brooklyn-2,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",46,$,3.5,[],40.6986734,-73.9943579
lUJNrKUCgi3gpXusZRV6jA,Claudia's Coffee Shop,claudias-coffee-shop-new-york,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",4,$$,4.5,[],40.70235,-74.010508
Y-GHuIjEF1gZgcGAF5tq8Q,Juice Press,juice-press-brooklyn-heights,False,"[{'alias': 'organic_stores', 'title': 'Organic Stores'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",19,$$,2.5,"['pickup', 'delivery']",40.6945796030344,-73.99449710462741
Qj8GjhtHimIoduXPhkeAsw,JOE & THE JUICE,joe-and-the-juice-new-york-37,False,"[{'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'delis', 'title': 'Delis'}]",14,,2.0,[],40.71567,-74.01096
mXExM4fLBcT1XJdcUPLagg,Green E.Tea,green-e-tea-new-york,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'desserts', 'title': 'Desserts'}]",5,,3.5,['delivery'],40.705865,-74.00741
yZ8EcJEWfvZE_-rjhmb3KQ,Cafe Serai,cafe-serai-new-york-2,False,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",13,$$,3.0,[],40.740020799999996,-73.9977875
fpwWGdAZOy9WFZw-GCemXQ,JOE & THE JUICE,joe-and-the-juice-new-york-33,False,"[{'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",22,,2.0,[],40.735009999999996,-74.00627
8A04F2JZ8QBqiRNmwy6EFg,Barclay Street Cafe,barclay-street-cafe-new-york-2,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",15,$$,2.5,[],40.71368579999999,-74.01129420000001
