,id,name,alias,is_closed,categories,review_count,price,rating,transactions,latitude,longitude
1685,nmIhMbsg3vgjFTAG0bRiZw,Doughnut Plant,doughnut-plant-new-york-5,False,"[{'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",154,$$,4.0,[],40.7527277,-73.9772353
1686,BgOtbs4T6HJjsbbe3kOurQ,Bluestone Lane,bluestone-lane-new-york-5,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",207,$,4.0,"['pickup', 'delivery']",40.7554697806612,-73.983193
1687,n0MKLSfPWiDCvQsRFAt8HA,NINO'S COFFEE & GRILL,ninos-coffee-and-grill-new-york,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'bagels', 'title': 'Bagels'}]",10,,4.5,[],40.75614,-73.98316
1688,Fo4ERbuHK-AmLON6Zao8aQ,Dino's Coffee Shop,dinos-coffee-shop-new-york,False,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",12,$,5.0,[],40.760388,-73.985678
1689,Km6BIQFgH-Jq0NVzDDYarA,Cha Cha Matcha,cha-cha-matcha-new-york-13,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",67,$$,4.0,[],40.7254679,-73.9948038
1690,MPV-rSjFjfxJDjOV97NwUw,Starbucks,starbucks-new-york-241,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",36,$$,3.0,[],40.750531,-73.979189
1691,ER_CRPW6Y0hsA3dwbaWrCQ,Pret A Manger,pret-a-manger-new-york-4,False,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",45,$,3.5,[],40.76005,-73.97244
1692,qGvo8VHrY85b4Ze-JaIjYg,Ralph's Coffee,ralphs-coffee-new-york-4,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",34,,4.5,[],40.7716587057718,-73.9657659083605
1693,Cj-dQiRCayppFl3gTtAA8g,Le Pain Quotidien,le-pain-quotidien-new-york-159,False,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",519,$$,3.0,"['pickup', 'delivery']",40.753156,-73.984576
1694,__OxnxuxnxJi8-xgYEwFhw,Starbucks,starbucks-new-york-158,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",60,$$,2.5,[],40.75327,-73.977606
1695,Xzn0k1tv3UoQGuOUEl5OZQ,Spices & Tease,spices-and-tease-new-york-3,False,"[{'alias': 'herbsandspices', 'title': 'Herbs & Spices'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",26,$$,3.5,[],40.75248,-73.97642
1696,zx6tVC9L2fWvNMHkGjBblg,Corrado Bread & Pastry,corrado-bread-and-pastry-new-york,False,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",150,$$,3.5,"['pickup', 'delivery']",40.7693250450943,-73.9632321354775
1697,YmmPh82J50V41fOfalR0sA,Pret A Manger,pret-a-manger-new-york-11,False,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",67,$,3.5,[],40.754104,-73.988868
1698,n28BZGX2d31uTKzeNfG7lQ,Mapi Espresso And Sandwich Bar,mapi-espresso-and-sandwich-bar-new-york,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",39,$,4.5,[],40.73562,-73.99458
1699,VbEBBk78LFMJ-aEybF4PtQ,Cofesta,cofesta-new-york-3,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",44,$$,4.0,[],40.74451,-73.99014
1700,XvzVDSJcemMdeoUgL8R_Nw,Black Fox Coffee,black-fox-coffee-new-york-4,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",11,,4.5,[],40.754666,-73.977238
1701,9geyoUfHITKKeoWETxKqVg,Starbucks,starbucks-new-york-322,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",65,$,2.5,[],40.74909,-73.983764
1702,ptxooaAssq6m15RTV7kPdg,Starbucks,starbucks-new-york-535,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",96,$$,2.5,[],40.7484799,-73.98511
1703,nF4TpiO5N12f5mYRyZ3ktg,Urbanspace At 570 Lex,urbanspace-at-570-lex-new-york,False,"[{'alias': 'restaurants', 'title': 'Restaurants'}, {'alias': 'publicmarkets', 'title': 'Public Markets'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",127,$$,4.0,"['pickup', 'delivery']",40.75686,-73.97228
1704,WBQPnEuUm8BfAylBov_MGg,Matto Espresso,matto-espresso-new-york-20,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}]",32,$,4.5,[],40.73025,-73.99397
1705,5Ges1QFylBI1KCHjZ5EZDw,Gotham Cafe,gotham-cafe-new-york,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'salad', 'title': 'Salad'}]",173,$,3.0,[],40.7663366540951,-73.9599185336314
1706,Zei83kZkMVd7jv2-eQSV5w,Spiritea,spiritea-new-york-3,False,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]",83,,4.0,"['pickup', 'delivery']",40.72659,-73.98873
1707,O3oe-tQYmbM6hG6fi5JMSw,The Cibo,the-cibo-new-york,False,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]",34,$$,3.0,"['pickup', 'delivery']",40.75126,-73.98403
1708,sfmi3mO_Kf__n89SznOy6g,Starbucks,starbucks-new-york-134,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",217,$$,3.0,[],40.730017,-73.991547
1709,fga6-O2R_ckKi1XegFWm-Q,Starbucks,starbucks-new-york-441,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",57,$$,2.5,[],40.750938,-73.975288
1710,pvZU_8zV5SwauKXhD7NshA,Pret A Manger,pret-a-manger-new-york-37,False,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",31,$$,3.5,[],40.75332,-73.98698
1711,ZDig3Cu-e90tGMIClb3xeg,Dunkin',dunkin-new-york-166,False,"[{'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",48,$,3.0,['delivery'],40.74671,-73.98605
1712,_u0t3FLefbCwsB6LupJj4g,Le Cafe Coffee,le-cafe-coffee-new-york-10,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",12,$,4.5,"['pickup', 'delivery']",40.74332,-73.98369
1713,j5psUbOP3fLMwEiJ68rIVw,Dan Jones,dan-jones-new-york,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",37,,4.0,[],40.76074217,-73.96731033
